‡T,‡U,‡V,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
-2,18,20,-8,-11,19,1,-1,-11,-11,-10,-9,
-3,18,21,-7,-12,20,0,-1,-11,-10,-10,-8,
0,19,19,-9,-9,19,-1,-3,-11,-10,-9,-7,
1,20,19,-10,-9,20,-4,-5,-12,-10,-9,-7,
2,20,18,-11,-8,19,-5,-7,-13,-11,-7,-7,
2,20,18,-11,-8,19,-7,-8,-14,-11,-6,-8,
2,21,19,-11,-8,20,-8,-9,-14,-12,-6,-8,
3,22,19,-12,-8,21,-10,-12,-15,-12,-6,-7,
3,21,18,-12,-7,20,-13,-13,-16,-12,-6,-6,
3,20,17,-11,-7,19,-14,-15,-16,-13,-5,-5,
4,21,17,-12,-6,19,-15,-16,-18,-14,-6,-4,
4,24,20,-14,-8,22,-16,-17,-18,-14,-6,-4,
4,21,17,-12,-6,19,-17,-18,-20,-14,-7,-4,
6,22,16,-14,-5,19,-18,-19,-20,-15,-7,-4,
8,23,15,-15,-3,19,-18,-19,-20,-15,-6,-3,
9,23,14,-16,-2,19,-18,-21,-23,-17,-6,-3,
9,22,13,-15,-2,18,-19,-22,-24,-17,-6,-3,
6,20,14,-13,-4,17,-19,-23,-25,-19,-7,-3,
6,19,13,-12,-3,16,-19,-23,-25,-18,-7,-3,
6,16,10,-11,-2,13,-20,-22,-25,-18,-6,-2,
6,14,8,-10,-1,11,-19,-21,-24,-17,-6,-2,
7,14,7,-10,0,11,-18,-20,-24,-16,-5,-2,
6,13,7,-9,0,10,-17,-20,-24,-17,-5,-2,
3,9,6,-6,-1,8,-16,-20,-24,-18,-7,-4,
0,2,2,-1,-1,2,-16,-20,-23,-19,-9,-6,
-3,1,4,1,-3,3,-14,-19,-23,-20,-10,-7,
-4,0,4,2,-4,2,-12,-19,-23,-21,-10,-7,
-3,1,4,1,-3,3,-11,-19,-23,-21,-11,-8,
-4,-2,2,3,-3,0,-11,-18,-26,-22,-13,-10,
-6,-6,0,6,-3,-3,-11,-19,-27,-24,-15,-11,
-7,-6,1,7,-4,-2,-11,-19,-28,-26,-18,-14,
-10,-8,2,9,-6,-3,-12,-20,-30,-27,-20,-17,
